,id,text,date,index,author,im_url,platform,sampleSource,label,Comments
0,47528,ey-epstein-former-member-of-the-trilateral-commission/,2022-06-16,7901633,1438784854,,Telegram,random,Niets,
1,47529,"worden dus ook verwijderd .....Onbetrouwbare figuren worden weggewerkt. Dat hebben wij gezien bij Omzicht, bij Wilders, dat is nog een vraagteken en bij Thierry Baudet, die worden bedreigd en geblokt en belachelijk gemaakt. Alleen als er een clevere tussen zit, een koude,  Gideon, dan is men voorzichtig. Je ziet in andere landen ook. Merkel, dochter van Hit",2022-07-19,8451075,,,Telegram,keywords,Elite-complot#Niets,
2,47530,@gertjansegers “Een land vol haat” tegen een bezetter.Ongelofelijk wat je hier stelt over een volk.jij moet ons leiden,2021-11-22,15075232,Allouchi1977,,Twitter,random,Niets,
3,47531,"de asielzoekersstad Tristatecity te krijgen? Wel na hightech industriele vaccinatie met QR en piepeltjes zijn met 5G goed te handhaven..?  Ehhh.. NEE..!  Geinig bedacht, maarre de Russen hebben goedkoop gas en er woedt een hetze waar iedereen het koud van gaat krijgen wanneer we er mee door gaan. We zitten in een strijd om de macht over energiemarkten met U",2022-09-21,9357413,,,Telegram,keywords,Niets,
4,47532," nu meer bekend geworden bij veel mensen. Sinds  dr. Carol Rosin, als rechter hand van Werner von Braun, Nazi man, Hitler boy en wetenschapper als hoofd van de NASA op zijn sterfbed in 1973 fluisterde aan dr. Rosin; “ en als eerste gebruiken zij de schurken staten als excuus, daarna de Russen, dan de terroristen, dan de meteorieten en als dat allemaal niet l",2022-09-04,9111741,1532414042,,Telegram,keywords,Dehumaniserend#Elite-complot,
5,47533,"nsen niet geinformeerd over de nadelen.  En mogen ook niet spelen met de gezondheid van de mensen, die eed hebben zij gezworen.  Een eerste grote hobbel is nu met de FEC genomen, hoe nu verder. Ik ken de amerikaanse wet te weinig om te weten hoe het nu verder moet. Fact is dat de Q forces de exacte uitslagen aantallen heeft , wie op Trump en Biden gestemd he",2022-05-18,7505939,2106540461,,Telegram,keywords,Niets,
6,47534,"beurd is , is moeilijk te controleren. DENK EENS OVER....HET NAVOLGENDE ...NA.; Waar haalt het kabinet de brutaliteit vandaan om het Nederlandse volk stiekum een programma op te dringen van het WEF., zonder het Nederlandse volk of zijn wettige vertegenwoordingingen te vragen of zij het wel goed vinden zo’n programma opgelegd te krijgen. Waar haalt Rutte het ",2022-08-06,8728625,1231902969,,Telegram,random,Niets,
7,47535,Sywert van Lienden 🤮 #CDA dacht Eventjes #Buitenhof doen Daarna is het smerige zaakje verleden tijd 😂,2021-06-07,7910278,BoertjePummel,,Twitter,random,Niets,
8,47536,"@PieterOmtzigt Mooi verhaal, maar er zijn o.l.v. dit kabinet zoveel hoofdpijndossiers die niet opgelost worden en de armoede neemt zienderogen toe onder de bevolking, terwijl Oekraïne en (bijv) Tata nog steeds miljarden krijgen! Hoe in Godsnaam kun je dat dan """"""""goedkeuren"""""""" door TEGEN te stemmen?",2022-08-25,31960002,BaukedeJong3,,Twitter,random,Niets,
9,47537,e dag van vandaag en enkele ruzies later. En mn zoon vorig jaar half jaar niet gezien. 🥲  Het is in en in triest en misdadig wat die ratten hebben gedaan in Den Haag. Een kogel is nog een te simpele dood. Publiekelijk ophangen.,2022-08-31,9072114,32527794,,Telegram,random,Dehumaniserend#Doodsbedreiging,
10,47538,@attjekuiken Scholen zullen nooit veilig zijn zolang we overgeleverd zijn aan machtsgeile politici #WEF,2022-01-03,17312872,EbornFre,,Twitter,keywords,Niets,
11,47539,"n in 1993 in het geheim in Jeruzalem, nadat ze elkaar nog geen jaar eerder hadden leren kennen in het Midden-Oosten toen Sigrid daar op werkbezoek was. Toen de relatie bekend werd bij het Ministerie van Buitenlandse Zaken moest ze afstand doen van haar vertrouwensfunctie.",2022-08-05,8714998,1208990332,,Telegram,random,Niets,
12,47540,@RoelofBouwman Alle cda kiezers verneukte hij ook al,2022-01-20,18461707,fred57484430,,Twitter,random,Niets,
13,47541,De bestuurscultuur doet nu ook het CDA de das om  https://www.trouw.nl/nieuws/dezelfde-bestuurscultuur-die-rutte-bijna-noodlottig-werd-lijkt-nu-het-cda-de-das-om-te-doen~b2b06b95/,2021-06-18,1759790,1182099862,,Telegram,random,Niets,
14,47542,"EXIT NEP Schwab-Rutte 4. Na het Carte Blanche van de @HogeRaad @koninklijkhuis De Haan (CDA, PVAZ) op basis van o.a. Art. 1, 7, 8, 11, 64, 97, 116, 120 GW, Art. 97, 140, 294, 307, 326 Sr, 41 HGEU, Art. 4 WIM &amp; de Code van Neurenberg het NEP parlement te laten resetten! @BILD @NOS https://t.co/GhwQcnCCG6",2022-01-16,18085582,DeHaanPVAZ,https://pbs.twimg.com/media/FJNL554WYAQ3kmA.jpg,Twitter,keywords,Elite-complot#Niets,
15,47543,afspraak! Jij komt je afspraken niet na !  Reageren via @meldpunt,2022-07-30,8618034,1304204867,,Telegram,keywords,Niets,
16,47544,"eaucraten ter verantwoording kunnen roepen, bijvoorbeeld bij het schenden van mensenrechten?’’ De Eurocommissarissen in de Commissie, die de eindverantwoordelijkheid dragen, zijn ongekozen en kunnen niet of nauwelijks weggestuurd worden. ‘Dat is beangstigend.”  ‘Flitsmacht’ Josep Borrell, de Hoge Vertegenwoordiger voor buitenlands beleid en veiligheid (ook:",2022-01-15,5395890,1583442846,,Telegram,random,Niets,
17,47545,"e & het partijkartel, het OMT, de corrupte ”media hoeren” (m/v) maar ook van degenen op hoge plaatsen met vitale lichaamsorganen (Verenigde Nazi’s, WHO, Europese Nazi Fascisten Unie, etc) die bescherming behoeven.  https://www.pensioenactivist.nl/de-wereldwijde-pandemie-van-rockefeller-us-army-in-1918/",2021-10-19,3543077,1474236482,,Telegram,random,Dehumaniserend#Elite-complot,
18,47546,"@MinPres @EmmanuelMacron Soort zoekt soort corrupt,verraders,fascisten, je hebt het niet van een vreemde hé Rutte",2022-04-24,23946062,marlieswasbu913,,Twitter,keywords,Niets,
19,47547,Kaag zegt dat “insinuaties” gevaarlijk zijn terwijl ze insinueert dat FVD namens Rusland opereren. De hypocrisie is werkelijk ongekend.  Weg met dit WEF kabinet! Tijd voor nieuwe verkiezingen in Nederland.  t.me/derdekamer,2022-09-22,9363063,1126385147,,Telegram,keywords,Elite-complot#Niets,
20,47548,"De uitslag van de stemming vanmiddag, over COVID op de A-lijst te houden.  Personen als Wobke Hoekstra, Rob Jetten, Sigrid Kaag  en Jesse Klaver waren afwezig bij hoofdelijke stemming, waar iedereen wordt verwacht.",2021-07-07,1981638,1336744681,,Telegram,random,Niets,
21,47549,"@SigridKaag @LisaGinneken Ehhhh, hoe is het gesteld met de gendergelijkheid en gelijke rechten binnen de islam? De zo zeer bewierookte en progressieve religie van de vrede… #d666",2022-07-23,29952768,beijerklaas,,Twitter,keywords,Demoniserend,
22,47550,e lijst is groots. !!!!  2764 leden in het totaal  die per jaar 2 miljard US$ aan lidmaatschapsgeld betalen. Een belachelijk bedrag.,2022-08-01,8646234,523646561,,Telegram,random,Niets,
23,47551,In quarantaine: Sigrid Kaag doet aangifte tegen Willem Engel na online verspreiden van haar adres.  D66-akela Sigrid Kaag doet aangifte tegen corona-activist Willem Engel vanwege het verspreiden van haar thuisadres. Een woordvoerder van D66 laat dat desgevraagd weten. Engel is zichzelf van geen kwaad bewust. Hij zegt dat de adresgegevens van Kaag al veel lan,2022-01-09,5255660,1184878229,,Telegram,random,Niets,
24,47552,"Dictators Rutte/Kaag blazen corona expres op om 2G door te drammen want dat moet van EUSSR/WEF. Het is de opmaat naar een sociaal controlesysteem zoals dat in China al de gruwelijke werkelijkheid is. We worden slaven, horigen, onderdrukten. De middeleeuwen 2.0 Wie wil dat⁉️ https://t.co/1pHCkeMIJF",2022-01-23,18601518,fransbierings,,Twitter,keywords,Elite-complot#Niets,
25,47553,@MooijGiorgina @VrouwvdVrijheid @Martinbosma_pvv @SLdeLange David Brock is in feite Media Matters = Open Society en doet voor Soros het knokwerk om zo alles en iedereen aan te vallen die hun plannen dwars zit. Die kliek is zo verrot dat zelfs de vliegen er niet meer op willen.,2021-05-11,7019648,PhobistThe,,Twitter,keywords,Elite-complot#Niets,
26,47554,@Y6BvhHW2uxrCEcE @PGKroeger @lientje1967 Ga terug je hok in de Vlieger.,2022-07-24,30005445,HanLangereis,,Twitter,random,Niets,
